station,year,month,day,time,is_row_bad,Level,Battery
19160,2008,12,27,1800,0,9.99,12.3
19160,2008,12,27,1900,0,9.99,12.3
19160,2008,12,27,2000,0,9.99,12.3
19160,2008,12,27,2100,0,9.99,12.3
19160,2008,12,27,2200,0,9.99,12.3
19160,2008,12,27,2300,0,9.99,12.3
19160,2008,12,27,2400,0,9.99,12.3
19160,2008,12,28,100,0,9.99,12.3
19160,2008,12,28,200,0,9.99,12.3
19160,2008,12,28,300,0,9.99,12.3
19160,2008,12,28,400,0,9.99,12.3
19160,2008,12,28,500,0,9.99,12.3
19160,2008,12,28,600,0,9.98,12.2
19160,2008,12,28,700,0,9.98,12.3
19160,2008,12,28,800,0,9.98,12.3
19160,2008,12,28,900,0,9.98,12.3
19160,2008,12,28,1000,0,9.98,12.3
19160,2008,12,28,1100,0,9.98,12.3
19160,2008,12,28,1200,0,9.98,12.3
19160,2008,12,28,1300,0,9.98,12.3
19160,2008,12,28,1400,0,9.98,12.3
19160,2008,12,28,1500,0,9.98,12.3
19160,2008,12,28,1600,0,9.98,12.3
19160,2008,12,28,1700,0,9.98,12.3
19160,2008,12,28,1800,0,9.98,12.3
19160,2008,12,28,1900,0,9.98,12.3
19160,2008,12,28,2000,0,9.98,12.3
19160,2008,12,28,2100,0,9.98,12.3
19160,2008,12,28,2200,0,9.98,12.3
19160,2008,12,28,2300,0,9.98,12.2
19160,2008,12,28,2400,0,9.98,12.2
19160,2008,12,29,100,0,9.98,12.2
19160,2008,12,29,200,0,9.98,12.2
19160,2008,12,29,300,0,9.98,12.2
19160,2008,12,29,400,0,9.98,12.2
19160,2008,12,29,500,0,9.98,12.2
19160,2008,12,29,600,0,9.98,12.2
19160,2008,12,29,700,0,9.98,12.2
19160,2008,12,29,800,0,9.98,12.2
19160,2008,12,29,900,0,9.98,12.2
19160,2008,12,29,1000,0,9.98,12.2
19160,2008,12,29,1100,0,9.98,12.2
19160,2008,12,29,1200,0,9.98,12.2
19160,2008,12,29,1300,0,9.98,12.2
19160,2008,12,29,1400,0,9.98,12.2
19160,2008,12,29,1500,0,9.98,12.2
19160,2008,12,29,1600,0,9.98,12.2
19160,2008,12,29,1700,0,9.98,12.2
19160,2008,12,29,1800,0,9.98,12.2
19160,2008,12,29,1900,0,9.98,12.2
19160,2008,12,29,2000,0,9.98,12.2
19160,2008,12,29,2100,0,9.98,12.2
19160,2008,12,29,2200,0,9.98,12.2
19160,2008,12,29,2300,0,9.98,12.2
19160,2008,12,29,2400,0,9.98,12.2
19160,2008,12,30,100,0,9.98,12.2
19160,2008,12,30,200,0,9.98,12.2
19160,2008,12,30,300,0,9.98,12.2
19160,2008,12,30,400,0,9.98,12.2
19160,2008,12,30,500,0,9.98,12.2
19160,2008,12,30,600,0,9.98,12.2
19160,2008,12,30,700,0,9.98,12.2
19160,2008,12,30,800,0,9.98,12.2
19160,2008,12,30,900,0,9.98,12.2
19160,2008,12,30,1000,0,9.98,12.2
19160,2008,12,30,1100,0,9.98,12.2
19160,2008,12,30,1200,0,9.98,12.2
19160,2008,12,30,1300,0,9.98,12.2
19160,2008,12,30,1400,0,9.98,12.2
19160,2008,12,30,1500,0,9.98,12.2
19160,2008,12,30,1600,0,9.98,12.2
19160,2008,12,30,1700,0,9.98,12.2
19160,2008,12,30,1800,0,9.98,12.2
19160,2008,12,30,1900,0,9.98,12.2
19160,2008,12,30,2000,0,9.98,12.2
19160,2008,12,30,2100,0,9.98,12.2
19160,2008,12,30,2200,0,9.98,12.2
19160,2008,12,30,2300,0,9.98,12.2
19160,2008,12,30,2400,0,9.98,12.2
19160,2008,12,31,100,0,9.98,12.1
19160,2008,12,31,200,0,9.98,12.1
19160,2008,12,31,300,0,9.98,12.1
19160,2008,12,31,400,0,9.98,12.1
19160,2008,12,31,500,0,9.98,12.1
19160,2008,12,31,600,0,9.98,12.1
19160,2008,12,31,700,0,9.98,12.1
19160,2008,12,31,800,0,9.98,12.1
19160,2008,12,31,900,0,9.98,12.1
19160,2008,12,31,1000,0,9.98,12.1
19160,2008,12,31,1100,0,9.98,12.1
19160,2008,12,31,1200,0,9.98,12.1
19160,2008,12,31,1300,0,9.98,12.1
19160,2008,12,31,1400,0,9.98,12.1
19160,2008,12,31,1500,0,9.98,12.1
19160,2008,12,31,1600,0,9.98,12.1
19160,2008,12,31,1700,0,9.98,12.1
19160,2008,12,31,1800,0,9.98,12.1
19160,2008,12,31,1900,0,9.98,12.1
19160,2008,12,31,2000,0,9.98,12.1
19160,2008,12,31,2100,0,9.98,12.1
19160,2008,12,31,2200,0,9.98,12.1
19160,2008,12,31,2300,0,9.98,12.1
19160,2008,12,31,2400,0,9.98,12.1
19160,2009,1,1,100,0,9.98,12.1
19160,2009,1,1,200,0,9.98,12.1
19160,2009,1,1,300,0,9.98,12.1
19160,2009,1,1,400,0,9.98,12.1
19160,2009,1,1,500,0,9.98,12.1
19160,2009,1,1,600,0,9.98,12
19160,2009,1,1,700,0,9.98,12.1
19160,2009,1,1,800,0,9.98,12.1
19160,2009,1,1,900,0,9.98,12.1
19160,2009,1,1,1000,0,9.98,12.1
19160,2009,1,1,1100,0,9.98,12.1
19160,2009,1,1,1200,0,9.98,12.1
19160,2009,1,1,1300,0,9.98,12.1
19160,2009,1,1,1400,0,9.98,12.1
19160,2009,1,1,1500,0,9.98,12.1
19160,2009,1,1,1600,0,9.98,12.1
19160,2009,1,1,1700,0,9.98,12.1
19160,2009,1,1,1800,0,9.98,12
19160,2009,1,1,1900,0,9.98,12.1
19160,2009,1,1,2000,0,9.98,12
19160,2009,1,1,2100,0,9.98,12
19160,2009,1,1,2200,0,9.98,12
19160,2009,1,1,2300,0,9.98,12
19160,2009,1,1,2400,0,9.98,12
19160,2009,1,2,100,0,9.98,12
19160,2009,1,2,200,0,9.98,12
19160,2009,1,2,300,0,9.98,12
19160,2009,1,2,400,0,9.98,12
19160,2009,1,2,500,0,9.98,12
19160,2009,1,2,600,0,9.98,12
19160,2009,1,2,700,0,9.98,12
19160,2009,1,2,800,0,9.98,12
19160,2009,1,2,900,0,9.98,12
19160,2009,1,2,1000,0,9.98,12
19160,2009,1,2,1100,0,9.98,12
19160,2009,1,2,1200,0,9.98,12
19160,2009,1,2,1300,0,9.98,12
19160,2009,1,2,1400,0,9.98,12
19160,2009,1,2,1500,0,9.98,12
19160,2009,1,2,1600,0,9.98,12
19160,2009,1,2,1700,0,9.98,12
19160,2009,1,2,1800,0,9.98,12
19160,2009,1,2,1900,0,9.98,12
19160,2009,1,2,2000,0,9.98,12
19160,2009,1,2,2100,0,9.98,12
19160,2009,1,2,2200,0,9.98,12
19160,2009,1,2,2300,0,9.98,12
19160,2009,1,2,2400,0,9.98,12
19160,2009,1,3,100,0,9.98,12
19160,2009,1,3,200,0,9.98,12
19160,2009,1,3,300,0,9.98,12
19160,2009,1,3,400,0,9.98,12
19160,2009,1,3,500,0,9.98,12
19160,2009,1,3,600,0,9.98,12
19160,2009,1,3,700,0,9.98,12
19160,2009,1,3,800,0,9.98,12
19160,2009,1,3,900,0,9.98,12
19160,2009,1,3,1000,0,9.98,12
19160,2009,1,3,1100,0,9.98,12
19160,2009,1,3,1200,0,9.98,12
19160,2009,1,3,1300,0,9.98,12
19160,2009,1,3,1400,0,9.98,12
19160,2009,1,3,1500,0,9.98,12
19160,2009,1,3,1600,0,9.98,12
19160,2009,1,3,1700,0,9.98,12
19160,2009,1,3,1800,0,9.98,12
19160,2009,1,3,1900,0,9.98,12
19160,2009,1,3,2000,0,9.98,12
19160,2009,1,3,2100,0,9.98,12
19160,2009,1,3,2200,0,9.98,11.9
19160,2009,1,3,2300,0,9.98,11.9
19160,2009,1,3,2400,0,9.98,11.9
19160,2009,1,4,100,0,9.98,11.9
19160,2009,1,4,200,0,9.98,11.9
19160,2009,1,4,300,0,9.98,11.9
19160,2009,1,4,400,0,9.98,11.9
19160,2009,1,4,500,0,9.98,11.9
19160,2009,1,4,600,0,9.98,11.9
19160,2009,1,4,700,0,9.98,11.9
19160,2009,1,4,800,0,9.98,11.9
19160,2009,1,4,900,0,9.98,11.9
19160,2009,1,4,1000,0,9.98,11.9
19160,2009,1,4,1100,0,9.98,11.9
19160,2009,1,4,1200,0,9.98,11.9
19160,2009,1,4,1300,0,9.98,11.9
19160,2009,1,4,1400,0,9.98,11.9
19160,2009,1,4,1500,0,9.98,12
19160,2009,1,4,1600,0,9.98,11.9
19160,2009,1,4,1700,0,9.98,11.9
19160,2009,1,4,1800,0,9.98,11.9
19160,2009,1,4,1900,0,9.98,11.9
19160,2009,1,4,2000,0,9.98,11.9
19160,2009,1,4,2100,0,9.98,11.9
19160,2009,1,4,2200,0,9.98,11.9
19160,2009,1,4,2300,0,9.98,11.9
19160,2009,1,4,2400,0,9.98,11.9
19160,2009,1,5,100,0,9.98,11.9
19160,2009,1,5,200,0,9.98,11.9
19160,2009,1,5,300,0,9.98,11.9
19160,2009,1,5,400,0,9.98,11.9
19160,2009,1,5,500,0,9.98,11.9
19160,2009,1,5,600,0,9.98,11.9
19160,2009,1,5,700,0,9.98,11.9
19160,2009,1,5,800,0,9.98,11.9
19160,2009,1,5,900,0,9.98,11.9
19160,2009,1,5,1000,0,9.98,11.9
19160,2009,1,5,1100,0,9.98,11.9
