station,year,month,day,time,is_row_bad,Level,Battery
19185,2012,12,5,1600,0,10.45,12.6
19185,2012,12,5,1700,0,10.45,12.7
19185,2012,12,5,1800,0,10.44,12.6
19185,2012,12,5,1900,0,10.44,12.6
19185,2012,12,5,2000,0,10.44,12.6
19185,2012,12,5,2100,0,10.82,12.6
19185,2012,12,5,2200,0,10.68,12.7
19185,2012,12,5,2300,0,10.57,12.6
19185,2012,12,5,2400,0,10.53,12.6
19185,2012,12,6,100,0,10.54,12.6
19185,2012,12,6,200,0,10.52,12.6
19185,2012,12,6,300,0,10.56,12.6
19185,2012,12,6,400,0,10.8,12.6
19185,2012,12,6,500,0,10.63,12.6
19185,2012,12,6,600,0,10.57,12.6
19185,2012,12,6,700,0,10.57,12.6
19185,2012,12,6,800,0,10.54,12.6
19185,2012,12,6,900,0,10.53,12.6
19185,2012,12,6,1000,0,10.52,12.6
19185,2012,12,6,1100,0,10.51,12.6
19185,2012,12,6,1200,0,10.52,12.6
19185,2012,12,6,1300,0,10.52,12.6
19185,2012,12,6,1400,0,10.51,12.6
19185,2012,12,6,1500,0,10.51,12.6
19185,2012,12,6,1600,0,10.51,12.6
19185,2012,12,6,1700,0,10.51,12.6
19185,2012,12,6,1800,0,10.5,12.6
19185,2012,12,6,1900,0,10.5,12.6
19185,2012,12,6,2000,0,10.5,12.6
19185,2012,12,6,2100,0,10.5,12.6
19185,2012,12,6,2200,0,10.5,12.6
19185,2012,12,6,2300,0,10.49,12.6
19185,2012,12,6,2400,0,10.49,12.6
19185,2012,12,7,100,0,10.49,12.6
19185,2012,12,7,200,0,10.49,12.6
19185,2012,12,7,300,0,10.48,12.6
19185,2012,12,7,400,0,10.48,12.6
19185,2012,12,7,500,0,10.48,12.6
19185,2012,12,7,600,0,10.48,12.6
19185,2012,12,7,700,0,10.48,12.6
19185,2012,12,7,800,0,10.47,12.6
19185,2012,12,7,900,0,10.47,12.6
19185,2012,12,7,1000,0,10.47,12.6
19185,2012,12,7,1100,0,10.47,12.6
19185,2012,12,7,1200,0,10.47,12.6
19185,2012,12,7,1300,0,10.47,12.6
19185,2012,12,7,1400,0,10.47,12.6
19185,2012,12,7,1500,0,10.47,12.6
19185,2012,12,7,1600,0,10.47,12.6
19185,2012,12,7,1700,0,10.47,12.6
19185,2012,12,7,1800,0,10.47,12.6
19185,2012,12,7,1900,0,10.47,12.6
19185,2012,12,7,2000,0,10.47,12.6
19185,2012,12,7,2100,0,10.47,12.6
19185,2012,12,7,2200,0,10.47,12.6
19185,2012,12,7,2300,0,10.54,12.6
19185,2012,12,7,2400,0,10.57,12.6
19185,2012,12,8,100,0,10.57,12.6
19185,2012,12,8,200,0,10.58,12.6
19185,2012,12,8,300,0,10.58,12.6
19185,2012,12,8,400,0,10.59,12.6
19185,2012,12,8,500,0,10.6,12.6
19185,2012,12,8,600,0,10.6,12.6
